ID;Name;Direction1;Direction2;Coordinates
23225;Tie 180 Parainen;Nauvo;Parainen;[22.179276412025935, 60.24343247457971, 0.0]
23226;Tie 23 Kankaanpää;Kankaanpää;Pori;[22.245398460367415, 61.78904481813967, 0.0]
23227;Tie 1 Piikkiö, Kirismäki;Turku;Helsinki;[22.516606250108943, 60.446969820170125, 0.0]
23229;Tie 40 Tuulisuo;Helsinki;Naantali;[22.454123175046508, 60.45250271767, 0.0]
23230;Tie 10 Lieto;Hämeenlinna;Turku;[22.42625529960474, 60.49767469271667, 0.0]
23231;Tie 40 Raisio, Vanto;Raisio;Naantali;[22.08588920984545, 60.46916584856306, 0.0]
23232;Tie 2 Pori, lentokenttä;Pori;Helsinki;[21.82112217287919, 61.45646962528223, 0.0]
23233;Tie 40 Raisio, Hauninen;Piikkiö;Raisio;[22.217790589097103, 60.49432658671817, 0.0]
23234;Tie 40 Turku, Oriketo;Piikkiö;Raisio;[22.31617409691057, 60.48953114365756, 0.0]
23235;Tie 1 Kupittaa;Turku;Helsinki;[22.304525604278137, 60.44648842669333, 0.0]
23236;Tie 1 Huhkola;Turku;Helsinki;[22.32772376694028, 60.42874156580483, 0.0]
23237;Tie 1 Kurkela L;Turku;Helsinki;[22.335364878351122, 60.42494454551234, 0.0]
23238;Tie 1 Kurkela I;Turku;Helsinki;[22.36419097223618, 60.42220226182448, 0.0]
23239;Tie 1 Kaarina;Turku;Helsinki;[22.402132595744572, 60.424158239262084, 0.0]
23240;Tie 1 Piikkiö;Turku;Helsinki;[22.476241429218216, 60.44036947692234, 0.0]
23242;Tie 1 Paimionjoki;Turku;Helsinki;[22.656020419254425, 60.43045415420004, 0.0]
23243;Tie 1 Paimionmäki;Turku;Helsinki;[22.683291458249727, 60.42359101495809, 0.0]
23244;Tie 1 Vista;Turku;Helsinki;[22.746268414006977, 60.42557503330305, 0.0]
23245;Tie 1 Hajala;Turku;Helsinki;[22.96935843274615, 60.434993369729604, 0.0]
23246;Tie 1 Halikko;Turku;Helsinki;[23.113634768486925, 60.41722519585044, 0.0]
23247;Tie 1 Isokylä;Turku;Helsinki;[23.14826182694, 60.418942393796904, 0.0]
23248;Tie 1 Muurla;Turku;Helsinki;[23.30078825602524, 60.387218284787615, 0.0]
23249;Tie 8 Ihala;Rauma;Turku;[22.186942944211513, 60.47760872712872, 0.0]
23250;Tie 8 Masku;Rauma;Turku;[22.090034698369976, 60.58313147022556, 0.0]
23251;Tie 40 Raisio, Krookila;Piikkiö;Naantali;[22.142868770073925, 60.47132994227606, 0.0]
23252;Tie 185 Turku, Artukainen;Naantali;Turku;[22.182830316737327, 60.46063928412699, 0.0]
23253;Tie 10 Lieto, Satiaismäki;Hämeenlinna;Turku;[22.36899186023997, 60.476583969846686, 0.0]
